g.name,gs.name,v.id
ENPP1,TNK_IL2_STAT5_signaling_positive,v_hs88b
SPP1,TNK_IL2_STAT5_signaling_positive,v_hs88b
ENO3,TNK_IL2_STAT5_signaling_positive,v_hs88b
RHOH,TNK_IL2_STAT5_signaling_positive,v_hs88b
TTC39B,TNK_IL2_STAT5_signaling_positive,v_hs88b
ITGAE,TNK_IL2_STAT5_signaling_positive,v_hs88b
RORA,TNK_IL2_STAT5_signaling_positive,v_hs88b
CST7,TNK_IL2_STAT5_signaling_positive,v_hs88b
TNFRSF9,TNK_IL2_STAT5_signaling_positive,v_hs88b
IFITM3,TNK_IL2_STAT5_signaling_positive,v_hs88b
ECM1,TNK_IL2_STAT5_signaling_positive,v_hs88b
LRIG1,TNK_IL2_STAT5_signaling_positive,v_hs88b
ST3GAL4,TNK_IL2_STAT5_signaling_positive,v_hs88b
COL6A1,TNK_IL2_STAT5_signaling_positive,v_hs88b
NCS1,TNK_IL2_STAT5_signaling_positive,v_hs88b
CCND2,TNK_IL2_STAT5_signaling_positive,v_hs88b
CD81,TNK_IL2_STAT5_signaling_positive,v_hs88b
CXCL10,TNK_IL2_STAT5_signaling_positive,v_hs88b
TNFRSF18,TNK_IL2_STAT5_signaling_positive,v_hs88b
IL13,TNK_IL2_STAT5_signaling_positive,v_hs88b
RNH1,TNK_IL2_STAT5_signaling_positive,v_hs88b
TWSG1,TNK_IL2_STAT5_signaling_positive,v_hs88b
BATF,TNK_IL2_STAT5_signaling_positive,v_hs88b
UMPS,TNK_IL2_STAT5_signaling_positive,v_hs88b
PLSCR1,TNK_IL2_STAT5_signaling_positive,v_hs88b
PLIN2,TNK_IL2_STAT5_signaling_positive,v_hs88b
IL4R,TNK_IL2_STAT5_signaling_positive,v_hs88b
RRAGD,TNK_IL2_STAT5_signaling_positive,v_hs88b
MAP6,TNK_IL2_STAT5_signaling_positive,v_hs88b
SLC29A2,TNK_IL2_STAT5_signaling_positive,v_hs88b
IRF4,TNK_IL2_STAT5_signaling_positive,v_hs88b
CSF2,TNK_IL2_STAT5_signaling_positive,v_hs88b
AMACR,TNK_IL2_STAT5_signaling_positive,v_hs88b
TGM2,TNK_IL2_STAT5_signaling_positive,v_hs88b
ABCB1,TNK_IL2_STAT5_signaling_positive,v_hs88b
SLC1A5,TNK_IL2_STAT5_signaling_positive,v_hs88b
CA2,TNK_IL2_STAT5_signaling_positive,v_hs88b
TNFSF11,TNK_IL2_STAT5_signaling_positive,v_hs88b
IL2RG,TNK_IL2_STAT5_signaling_positive,v_hs88b
PTGER2,TNK_IL2_STAT5_signaling_positive,v_hs88b
FURIN,TNK_IL2_STAT5_signaling_positive,v_hs88b
PHLDA1,TNK_IL2_STAT5_signaling_positive,v_hs88b
RABGAP1L,TNK_IL2_STAT5_signaling_positive,v_hs88b
IFNGR1,TNK_IL2_STAT5_signaling_positive,v_hs88b
GADD45B,TNK_IL2_STAT5_signaling_positive,v_hs88b
BHLHE40-AS1,TNK_IL2_STAT5_signaling_positive,v_hs88b
ODC1,TNK_IL2_STAT5_signaling_positive,v_hs88b
MYO1E,TNK_IL2_STAT5_signaling_positive,v_hs88b
TIAM1,TNK_IL2_STAT5_signaling_positive,v_hs88b
NCOA3,TNK_IL2_STAT5_signaling_positive,v_hs88b
ETV4,TNK_IL2_STAT5_signaling_positive,v_hs88b
ITIH5,TNK_IL2_STAT5_signaling_positive,v_hs88b
P2RX4,TNK_IL2_STAT5_signaling_positive,v_hs88b
NOP2,TNK_IL2_STAT5_signaling_positive,v_hs88b
IGF1R,TNK_IL2_STAT5_signaling_positive,v_hs88b
COCH,TNK_IL2_STAT5_signaling_positive,v_hs88b
PIM1,TNK_IL2_STAT5_signaling_positive,v_hs88b
BATF3,TNK_IL2_STAT5_signaling_positive,v_hs88b
HUWE1,TNK_IL2_STAT5_signaling_positive,v_hs88b
SNX9,TNK_IL2_STAT5_signaling_positive,v_hs88b
ARL4A,TNK_IL2_STAT5_signaling_positive,v_hs88b
SYNGR2,TNK_IL2_STAT5_signaling_positive,v_hs88b
SCN9A,TNK_IL2_STAT5_signaling_positive,v_hs88b
PNP,TNK_IL2_STAT5_signaling_positive,v_hs88b
ITGA6,TNK_IL2_STAT5_signaling_positive,v_hs88b
IL18R1,TNK_IL2_STAT5_signaling_positive,v_hs88b
TRAF1,TNK_IL2_STAT5_signaling_positive,v_hs88b
LTB,TNK_IL2_STAT5_signaling_positive,v_hs88b
TNFRSF8,TNK_IL2_STAT5_signaling_positive,v_hs88b
PTCH1,TNK_IL2_STAT5_signaling_positive,v_hs88b
BCL2L1,TNK_IL2_STAT5_signaling_positive,v_hs88b
AHCY,TNK_IL2_STAT5_signaling_positive,v_hs88b
CTLA4,TNK_IL2_STAT5_signaling_positive,v_hs88b
SOCS1,TNK_IL2_STAT5_signaling_positive,v_hs88b
ALCAM,TNK_IL2_STAT5_signaling_positive,v_hs88b
LIF,TNK_IL2_STAT5_signaling_positive,v_hs88b
MAPKAPK2,TNK_IL2_STAT5_signaling_positive,v_hs88b
CDC42SE2,TNK_IL2_STAT5_signaling_positive,v_hs88b
PRKCH,TNK_IL2_STAT5_signaling_positive,v_hs88b
CYFIP1,TNK_IL2_STAT5_signaling_positive,v_hs88b
HK2,TNK_IL2_STAT5_signaling_positive,v_hs88b
PENK,TNK_IL2_STAT5_signaling_positive,v_hs88b
SYT11,TNK_IL2_STAT5_signaling_positive,v_hs88b
FLT3LG,TNK_IL2_STAT5_signaling_positive,v_hs88b
SHE,TNK_IL2_STAT5_signaling_positive,v_hs88b
SELP,TNK_IL2_STAT5_signaling_positive,v_hs88b
PLAGL1,TNK_IL2_STAT5_signaling_positive,v_hs88b
PTRH2,TNK_IL2_STAT5_signaling_positive,v_hs88b
CAPG,TNK_IL2_STAT5_signaling_positive,v_hs88b
EOMES,TNK_IL2_STAT5_signaling_positive,v_hs88b
GPX4,TNK_IL2_STAT5_signaling_positive,v_hs88b
RGS16,TNK_IL2_STAT5_signaling_positive,v_hs88b
TNFRSF1B,TNK_IL2_STAT5_signaling_positive,v_hs88b
FAH,TNK_IL2_STAT5_signaling_positive,v_hs88b
PHTF2,TNK_IL2_STAT5_signaling_positive,v_hs88b
TNFRSF21,TNK_IL2_STAT5_signaling_positive,v_hs88b
DHRS3,TNK_IL2_STAT5_signaling_positive,v_hs88b
IL2RB,TNK_IL2_STAT5_signaling_positive,v_hs88b
PTH1R,TNK_IL2_STAT5_signaling_positive,v_hs88b
LCLAT1,TNK_IL2_STAT5_signaling_positive,v_hs88b
ANXA4,TNK_IL2_STAT5_signaling_positive,v_hs88b
CSF1,TNK_IL2_STAT5_signaling_positive,v_hs88b
SNX14,TNK_IL2_STAT5_signaling_positive,v_hs88b
IRF8,TNK_IL2_STAT5_signaling_positive,v_hs88b
SERPINB6,TNK_IL2_STAT5_signaling_positive,v_hs88b
CENPA,all_G1S_transition,v_hs3b
CCNB1,all_G1S_transition,v_hs3b
BUB1B,all_G1S_transition,v_hs3b
CDC25B,all_G1S_transition,v_hs3b
TOP2A,all_G1S_transition,v_hs3b
AURKA,all_G1S_transition,v_hs3b
CENPF,all_G1S_transition,v_hs3b
CKS2,all_G1S_transition,v_hs3b
RACGAP1,all_G1S_transition,v_hs3b
CDC25C,all_G1S_transition,v_hs3b
KIF20A,all_G1S_transition,v_hs3b
CCNA2,all_G1S_transition,v_hs3b
CCNF,all_G1S_transition,v_hs3b
PLK1,all_G1S_transition,v_hs3b
CDK1,all_G1S_transition,v_hs3b
BUB1,all_G1S_transition,v_hs3b
CCNB2,all_G1S_transition,v_hs3b
CDC20,all_G1S_transition,v_hs3b
CDKN2D,all_G1S_transition,v_hs3b
BIRC5,all_G1S_transition,v_hs3b
IL27,M_mac_IFNG_response,v_hs91
IL12A,M_mac_IFNG_response,v_hs91
IFNGR1,M_mac_IFNG_response,v_hs91
CXCL13,M_mac_IFNG_response,v_hs91
IL6,M_mac_IFNG_response,v_hs91
IL12B,M_mac_IFNG_response,v_hs91
CXCL2,M_mac_IFNG_response,v_hs91
